patient,gt_voxels,dental_dice,dental_iou,dental_hd95,dental_cldice,dental_connectivity_rate,dental_num_components,dental_breakpoints,dental_centerline_distance,dental_pred_voxels,dental_gt_voxels
VOL_1,61403,0.7474460005760193,0.5967375040054321,4.0,0.7474411129951477,0.5136418831064163,2,2,0.4867607775617607,93059,61403
VOL_3,71398,0.7606614828109741,0.6137641072273254,3.4641016151377544,0.7606566548347473,0.5774538657333758,2,2,0.46315946956505255,100576,71398
VOL_4,83284,0.768543004989624,0.6240924596786499,3.7416573867739413,0.7685379981994629,0.5430249747140745,2,2,0.476550410881886,102824,83284
